Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,14380.000000,14430.000000,14210.000000,14300.000000,12940.657227,39026
2016-03-03,14450.000000,14450.000000,14180.000000,14330.000000,12967.804688,48552
2016-03-06,14300.000000,14490.000000,14300.000000,14400.000000,13031.151367,15012
2016-03-07,14450.000000,14450.000000,14150.000000,14170.000000,12823.015625,20329
2016-03-08,14030.000000,14110.000000,13920.000000,13920.000000,12596.778320,35875
2016-03-09,13910.000000,14480.000000,13900.000000,14240.000000,12886.360352,54568
2016-03-10,14310.000000,14580.000000,14210.000000,14520.000000,13139.743164,69271
2016-03-13,14610.000000,14790.000000,14470.000000,14550.000000,13166.892578,44132
2016-03-14,14590.000000,14770.000000,14460.000000,14470.000000,13094.497070,151246
2016-03-15,14410.000000,14580.000000,14300.000000,14500.000000,13121.646484,54721
2016-03-16,14450.000000,14650.000000,14440.000000,14650.000000,13257.386719,41651
2016-03-17,14780.000000,14950.000000,14680.000000,14950.000000,13528.868164,86005
2016-03-20,15100.000000,15210.000000,14950.000000,15190.000000,13746.055664,15922
2016-03-21,15330.000000,15330.000000,14900.000000,14900.000000,13483.622070,39184
2016-03-22,14950.000000,15160.000000,14790.000000,14880.000000,13465.523438,42327
2016-03-23,14870.000000,15280.000000,14650.000000,15280.000000,13827.499023,117207
2016-03-27,15330.000000,15700.000000,15330.000000,15620.000000,14135.179688,62042
2016-03-28,15540.000000,15630.000000,15430.000000,15480.000000,14008.487305,49772
2016-03-29,14980.000000,14980.000000,14810.000000,14820.000000,13411.226563,845436
2016-03-30,14700.000000,14860.000000,14630.000000,14840.000000,13429.325195,489216
2016-03-31,14840.000000,14870.000000,14740.000000,14750.000000,13347.880859,144782
2016-04-03,14800.000000,14810.000000,14680.000000,14740.000000,13338.831055,85706
2016-04-04,14750.000000,14890.000000,14650.000000,14840.000000,13429.325195,138279
2016-04-05,14830.000000,14830.000000,14630.000000,14660.000000,13266.436523,73736
2016-04-06,14680.000000,14770.000000,14620.000000,14750.000000,13347.880859,54398
2016-04-07,14770.000000,14840.000000,14650.000000,14750.000000,13347.880859,78010
2016-04-10,14780.000000,14820.000000,14750.000000,14780.000000,13375.028320,15631
2016-04-11,14780.000000,14950.000000,14730.000000,14930.000000,13510.769531,71700
2016-04-12,14850.000000,15010.000000,14850.000000,15010.000000,13583.165039,69930
2016-04-13,15070.000000,15110.000000,14920.000000,15080.000000,13646.511719,58921
2016-04-14,15100.000000,15150.000000,14990.000000,15120.000000,13682.709961,110689
2016-04-17,15250.000000,15250.000000,15170.000000,15210.000000,13764.153320,62257
2016-04-18,15210.000000,15250.000000,14960.000000,15050.000000,13619.361328,126387
2016-04-19,14740.000000,14950.000000,14680.000000,14800.000000,13693.227539,92045
2016-04-20,14680.000000,15000.000000,14680.000000,15000.000000,13878.271484,65459
2016-04-21,15070.000000,15080.000000,14930.000000,15020.000000,13896.776367,55532
2016-04-24,15070.000000,15120.000000,14970.000000,15100.000000,13970.793945,11677
2016-04-25,null,null,null,null,null,null
2016-04-26,null,null,null,null,null,null
2016-04-27,null,null,null,null,null,null
2016-05-01,14800.000000,14990.000000,14750.000000,14810.000000,13702.480469,36259
2016-05-02,14770.000000,15160.000000,14770.000000,15160.000000,14026.305664,98921
2016-05-03,15190.000000,15190.000000,15020.000000,15130.000000,13998.549805,58623
2016-05-04,15130.000000,15160.000000,14960.000000,15000.000000,13878.271484,35906
2016-05-05,15130.000000,15150.000000,14910.000000,15060.000000,13933.785156,61743
2016-05-08,15010.000000,15150.000000,15010.000000,15120.000000,13989.297852,36916
2016-05-09,15190.000000,15190.000000,15080.000000,15160.000000,14026.305664,100092
2016-05-10,15160.000000,15240.000000,15110.000000,15200.000000,14063.315430,81913
2016-05-15,15200.000000,15280.000000,15160.000000,15280.000000,14137.333008,48865
2016-05-16,15290.000000,15440.000000,15270.000000,15440.000000,14285.368164,67010
2016-05-17,15460.000000,15460.000000,15300.000000,15400.000000,14248.359375,73206
2016-05-18,15400.000000,15500.000000,15300.000000,15500.000000,14340.879883,66950
2016-05-19,15500.000000,15500.000000,15280.000000,15390.000000,14239.106445,58952
2016-05-22,15550.000000,15730.000000,15480.000000,15650.000000,14479.663086,83847
2016-05-23,15740.000000,16190.000000,15720.000000,16190.000000,14979.281250,230785
2016-05-24,16150.000000,16260.000000,16000.000000,16200.000000,14988.532227,87854
2016-05-25,16420.000000,16590.000000,16210.000000,16570.000000,15330.863281,235830
2016-05-26,16430.000000,16640.000000,16290.000000,16640.000000,15395.628906,232338
2016-05-29,16640.000000,16840.000000,16430.000000,16520.000000,15284.603516,75868
2016-05-30,16520.000000,16520.000000,16120.000000,16350.000000,15127.315430,177160
2016-05-31,16350.000000,16440.000000,16220.000000,16350.000000,15127.315430,1173763
2016-06-01,16270.000000,16270.000000,16070.000000,16200.000000,14988.532227,105675
2016-06-02,16120.000000,16180.000000,15900.000000,16100.000000,14896.011719,131208
2016-06-05,16150.000000,16280.000000,15970.000000,16100.000000,14896.011719,55358
2016-06-06,16190.000000,16220.000000,15950.000000,16180.000000,14970.030273,141971
2016-06-07,16200.000000,16600.000000,16150.000000,16600.000000,15358.620117,105559
2016-06-08,16680.000000,16680.000000,16420.000000,16560.000000,15321.611328,101222
2016-06-09,16500.000000,16580.000000,16090.000000,16150.000000,14942.272461,153765
2016-06-13,16000.000000,16240.000000,15910.000000,16000.000000,14803.490234,121804
2016-06-14,16100.000000,16130.000000,15820.000000,16000.000000,14803.490234,979824
2016-06-15,15860.000000,16020.000000,15700.000000,16000.000000,14803.490234,112072
2016-06-16,15990.000000,16070.000000,15740.000000,15900.000000,14710.967773,394049
2016-06-19,16040.000000,16150.000000,15920.000000,15920.000000,14729.471680,35163
2016-06-20,16200.000000,16370.000000,16150.000000,16370.000000,15145.820313,165079
2016-06-21,16200.000000,16320.000000,16200.000000,16290.000000,15071.803711,51265
2016-06-22,16370.000000,16450.000000,16000.000000,16420.000000,15192.081055,156638
2016-06-23,16500.000000,16540.000000,16200.000000,16200.000000,14988.532227,242096
2016-06-26,15920.000000,16030.000000,15790.000000,15790.000000,14609.193359,108151
2016-06-27,15800.000000,15950.000000,15540.000000,15650.000000,14479.663086,89354
2016-06-28,15780.000000,15980.000000,15630.000000,15780.000000,14599.942383,148803
